S/N,Video_ID,text,label,Language
144,FXNoo4BjNOE,"Continuity ya haka. Alhaji da Jamila sun shiga mota ta kofar baya, sai kuma aka nunasu a kujeran gaba🤔",Negetive,Hausa
145,FXNoo4BjNOE,Minene sunan wanan film?,Neutral,Hausa
146,FXNoo4BjNOE,Gaskiya tun yanzu ma har na kamu da son Maryam....gaskiya ta dace da role dinta 🤗🤗,Positive,Hausa
147,FXNoo4BjNOE,Malan Aminu saira nafisa abadalahi itace dai dai Da rol din sumayya fati washa gaskiya ana maleji ne kawai,Negetive,Hausa
148,FXNoo4BjNOE,"This Season 8 episode 1, is far better than season 1 to season 7",Positive,English
149,FXNoo4BjNOE,I&#39;m already beginning to be emotional.,Positive,English
150,FXNoo4BjNOE,Nafahimci wannan basira taka malam Aminu saira ❤❤❤,Positive,Hausa
151,FXNoo4BjNOE,Amin Saira pls kakira su rangilaa kabasu rizoulee cafe domin a halinda akeciki sunfi Al-Amin bukata 😂,Neutral,Hausa
152,FXNoo4BjNOE,"Wow what an amazing line of love story, this trend moght be more interesting than the previous one.",Positive,English
153,FXNoo4BjNOE,"Alhmdullah labarina wallahi Masha Allah yy dadi sosai, har yafi wancan",Positive,Hausa
154,FXNoo4BjNOE,Wannan 🤙flim wlh yayi 🙆kyau 😌❤ sosai fa ❤️‍🔥🔥💥,Positive,Hausa
155,FXNoo4BjNOE,Allah yasa ba irin na izzar so zaku mana bah mtsw 😂😂😂,Negetive,Hausa
156,FXNoo4BjNOE,Good job Maryam,Positive,English
157,FXNoo4BjNOE,This what exactly what’s happening to my life right now 😭😭😭,Neutral,English
158,FXNoo4BjNOE,Masha Allah Saira is the best actor❤❤❤ you,Positive,English
159,FXNoo4BjNOE,Slm guys I am confused here please can someone enlighten me that’s going 🙄🙄🙄,Neutral,English
160,FXNoo4BjNOE,"Aliquant director Aminu Saira, the new story is very interested. <br><br>Keep it up 👍",Positive,English
161,FXNoo4BjNOE,Abinba yafaru a wakan sani liya liya anan ma zaifaru😂,Neutral,Hausa
162,FXNoo4BjNOE,Jinjina sera,Positive,Hausa
163,FXNoo4BjNOE,Amma fah aminu saira karaina mana wayo wlh ah rabarin amal dinnan but wannan sabon rabarin shima yana da diiii seidei matsalaka rainin hankali wlh😅,Negetive,Hausa
164,FXNoo4BjNOE,I love you maryam with your actions,Positive,English
165,FXNoo4BjNOE,I wish everylady can have a friend like Maryam nice one director,Positive,English
166,FXNoo4BjNOE,Kudi maganin jarabar duniya 🤣🤣🤣🤣😂Allah ka bamu da kanka,Neutral,Hausa
167,FXNoo4BjNOE,Maryam is so beautiful,Positive,English
168,FXNoo4BjNOE,I love Maryam a friend of jamila,Positive,English
169,FXNoo4BjNOE,This series is very emotional and  heartbrok💔 sorry for you Al-ameen😢😢😢,Positive,English
170,FXNoo4BjNOE,Gaskiya labarina 2 yayi dadi F❤😅,Positive,Hausa
171,FXNoo4BjNOE,Wallahi @Aminu saira kayi kokari a film dinnan,Positive,Hausa
172,FXNoo4BjNOE,Takare Maka aminu Saira dis your series don End,Negetive,English
173,FXNoo4BjNOE,Ubankiji Allah kaisanmun data tadanasa,Negetive,Hausa
174,FXNoo4BjNOE,Bamaso in jakusanuna mutanen da Toh kusa in bakwaso Toh Kubari🇱🇾🇱🇾👈,Negetive,Hausa
175,FXNoo4BjNOE,Seriously Aminu saira <br>You don scatter this series 😢<br>I will never watch this series again 😢😢😢,Negetive,English
176,FXNoo4BjNOE,Gaskiya saira baka kyauta minba wannanan ai salon wasa da hanlainmu ne wlh nida kallon lbr har abada,Negetive,Hausa
177,FXNoo4BjNOE,Kai Saira kanka naja kana bada Wuta soai 💪🏾💪🏾💪🏾,Positive,Hausa
178,FXNoo4BjNOE,Nagode da kuka kawo min actor na SANI SADIQ,Positive,Hausa
179,FXNoo4BjNOE,Nagode da kuka kawo min actor na SANI SADIQ,Positive,Hausa
180,FXNoo4BjNOE,Maryam I like the way you act,Positive,English
181,FXNoo4BjNOE,Gaskiya labarina yayi kyau sosai,Positive,Hausa
182,FXNoo4BjNOE,I really like how Maryam acting,Positive,English
183,FXNoo4BjNOE,Wallahi nidai ba a min a dalciba😂😂😂,Negetive,Hausa
184,FXNoo4BjNOE,"Excuse me, but now what is the objective of the series?",Neutral,English
185,FXNoo4BjNOE,ya allah karabamuda talauci kahadamu da masoya na gsky 😭🤲,Neutral,Hausa
186,FXNoo4BjNOE,Wai halan waya koya maka directing film <br>Gaskiya wawane <br>Halan dan kano ne 😅,Negetive,Hausa
187,FXNoo4BjNOE,Kai wawa yi shiru <br>Kayi wawanchi,Negetive,Hausa
188,FXNoo4BjNOE,The king of hausa series film malam aminu saira,Positive,English
189,FXNoo4BjNOE,Gaskia tallah na yawa 😢😢😢,Negetive,Hausa
190,FXNoo4BjNOE,Malam Aminu Saira cikin girmamawa zancemaka kazalinci Al ameen da presdo 😢😂😂❤,Negetive,Hausa
191,FXNoo4BjNOE,"Gaskiya anyi Mana ha inci andora wani flim Wanda be gamsar damuba a gurbin Wanda muke gamsuwa dashi yin hakan ha,inci nee",Negetive,Hausa
192,FXNoo4BjNOE,We are with you Aminu Saira hundred percent ❤❤❤,Positive,English
193,FXNoo4BjNOE,Alhaji Dan Gaske ya taimaka ya hada da Aminu saira akai asibiti a duba kwakwalwanshi shima.,Negetive,Hausa
194,FXNoo4BjNOE,Dan renihakali,Negetive,Hausa
195,FXNoo4BjNOE,Iabari na kyau wllh ❤,Positive,Hausa
196,FXNoo4BjNOE,That&#39;s nonsense,Negetive,English
197,FXNoo4BjNOE,Amma gsky Aminu saira gama mayar da mutane kananan yara😂😂😂😂😂😂😂😂😂,Negetive,Hausa
198,FXNoo4BjNOE,Am 100 percnt sure that al-amin will definitely end up with maryam,Neutral,English
199,FXNoo4BjNOE,"Why do u want to marry when u know that u don&#39;t have money. Love is not enough oo, love fades and when it does what will sustain them?...",Neutral,English
200,FXNoo4BjNOE,Slm fatan alhiri gawanna kamfani mai albarka wanna film yayikyau sosaifa munagodeya gawanna kamfani mai albarka saidai shawara gida daya yakamata yanda film dina yazo da sabun labari Tu yakamata film din yasamu sabon suna mutani zasufi fahimata achikin sauki amayan zu mutani sunata kurafi,Positive,Hausa
201,FXNoo4BjNOE,A wannan Film An Raina Masu Kallo Nikam Allah Ya&#39;isa min,Negetive,Hausa
202,FXNoo4BjNOE,Nida kallon labarina har abada,Negetive,Hausa
203,FXNoo4BjNOE,Shikuma wan nan yasunansa dan balabarina bane,Neutral,Hausa
204,FXNoo4BjNOE,So sad n it happens every day in our society,Neutral,English
205,FXNoo4BjNOE,Malan Aminu Saira i have nothing tell u but u really impressed us.,Positive,English
206,FXNoo4BjNOE,Saira hege ne wlh,Positive,Hausa
207,FXNoo4BjNOE,Seriously I won&#39;t lie money sweet fa,Neutral,English
208,FXNoo4BjNOE,"It&#39;s good, amenou saira, may God bless you more",Positive,Hausa
209,FXNoo4BjNOE,Towai ni bangane ba ina sumaiya ina rabagardama ya lbr auren su wanan baiyi ba ba ma&#39;ana fah,Negetive,Hausa
210,FXNoo4BjNOE,What kind of nonsense is this they changed all the characters justice for labarina and when<br>Will it end<br>😢😤🤬💔<br>Making money through youtube is not good just end the series if u don&#39;t have something to offer or to show😡😠😠😠😖👿💔💔💔💔,Negetive,English
211,FXNoo4BjNOE,"Seriously I don&#39;t understand what is going on here,, but it their business,,, if I like I watch",Negetive,English
212,FXNoo4BjNOE,Sadiq sani Sadiq is my best actor,Positive,English
213,FXNoo4BjNOE,"Masha ALLAH ni wannan film din yafi labarin sumayya a wajen,saboda wannan darasin rayuwa za&#39;anuna acikinsa",Positive,Hausa
214,FXNoo4BjNOE,Alamin will surely make it🥹❤️,Neutral,English
215,FXNoo4BjNOE,duk Wanda ya mutar kwadayi sata saukeshi tashar wulakanci mlm Aminu saira munagodiya da alama wannan series zaifadakar fiye wanncen Amma saidai munyi kewar su sumaiya da rukayya mai haku ummi karama harda raba gaddama  wanncen series mun ilmantu akan  balallai bane abinda zuciyarka keso zakasamuba  kaddara takanzo da kowanne Irin sauyi merci beaucoup à toi tu as très intelligent mlm Aminu saira allah ya qara basira 🇳🇪,Positive,Hausa
216,FXNoo4BjNOE,Kaso mai sonka,Neutral,Hausa
217,FXNoo4BjNOE,Saira is just the best when it comes to entertainment,Positive,English
218,FXNoo4BjNOE,Bravo 👏 aminu saira<br>U did so well!😻,Positive,English
219,FXNoo4BjNOE,"I love the new episode<br>Please 🥺 make it to be 2 hours 😮<br>But, what about sumaiyya",Positive,English
220,FXNoo4BjNOE,Well done aminu saira,Positive,English
221,FXNoo4BjNOE,This is more interesting than the labarina its self,Positive,English
222,FXNoo4BjNOE,It&#39;s really making sense ♥️,Positive,English
223,FXNoo4BjNOE,I ni ban gani abinda zan jira na 1 week a Nan ba,Negetive,Hausa
224,FXNoo4BjNOE,Saira you are the best legend please let alameen make money,Positive,English
225,FXNoo4BjNOE,Mlm Aminu Saira Allah yakara basira,Positive,Hausa
226,FXNoo4BjNOE,Masha Allah Allah ya taimaka,Neutral,Hausa
227,FXNoo4BjNOE,Wow interesting,Positive,English
228,FXNoo4BjNOE,Saira justice for maryam friend of jameela,Neutral,English
229,FXNoo4BjNOE,Ke da kike kuka sai kace kanin ubanki zai aura😂😂 amarya bata yi kuka ba sai ke,Negetive,Hausa
230,FXNoo4BjNOE,Nice maryam,Positive,English
231,FXNoo4BjNOE,Jamila kinada kyau allah yakara taukaka gaskiya Jamila kina burgeni,Positive,Hausa
232,FXNoo4BjNOE,"Tabbas saira kazo da abinda zamu jima bamu manta ba, Allah ya saka maka da alkhairi da fadakarwarka da nishadantarwarka garemu😊😊😊😊",Positive,Hausa
233,FXNoo4BjNOE,Aminu u are the best darector I swear to God,Positive,English
234,FXNoo4BjNOE,Seriously aminu Saira you disappointed me 😢😢,Negetive,English
235,FXNoo4BjNOE,"Tirkashi, ana wata ga wata, sunan wani film 😲",Neutral,Hausa
236,FXNoo4BjNOE,"WLH NA TAUSAYAWA  AL AMIN. WLH HAR KWALLA NAYI SABODA TAUSAYI, DARECTA  MUNA JIRAN CIGABAN SHIRIN❤❤❤❤",Positive,Hausa
237,FXNoo4BjNOE,What is the name of this movie? 😂😂😂😁😀,Neutral,English
238,FXNoo4BjNOE,Kai zandage nanemi kudi Dan nahuce takaici 🥰🥰🥰🥰🥰,Neutral,Hausa
239,FXNoo4BjNOE,"I think deeply to find out a director like malam Aminu Saira but I didn&#39;t get like him yet. I think this story will be more captivation than last one,🥰🥰🥰😍😍🥰",Positive,English
240,FXNoo4BjNOE,Sometimes I feel it series should be on Netflix 👌👌👌👌👌❤️❤️,Positive,English
241,FXNoo4BjNOE,"Aminu Sara I love ur series, they are the best ❤❤❤",Positive,English
242,FXNoo4BjNOE,Am totally discouraged,Negetive,English
243,FXNoo4BjNOE,"Tonton Amimou akare labarin Soumaya san nan a fara wani KO,dan nasan chima zai yi dadi😊😊",Neutral,Hausa
244,FXNoo4BjNOE,Saira your brain will never be empty,Positive,English
245,FXNoo4BjNOE,"Wow, touching ❤️ episode",Positive,English
246,FXNoo4BjNOE,mayam ita ce gwana ta a firlm din,Positive,Hausa
247,FXNoo4BjNOE,Maryam kina burgeni sosai wllh kirabuda kawannan taki❤,Positive,Hausa
248,FXNoo4BjNOE,"Hmmmmm.... I can&#39;t believe that, from the 1st episode of the new labarina season 8, I&#39;m about to  cry seriously wlh😢 the story is deeply touching the Heart 💔 that that&#39;s exactly what is happening now in this generation 😢<br>Supporting actress/actor is most important thing to have in your entire life. Not only in movies 👌🏻<br>Kudos to the best director, AMINU SAIRA 🎉🎉🎉😅<br>Wish you all the best 🎉🎉🎉",Positive,English
249,FXNoo4BjNOE,"Gaskiya Malam aminu saira ka wahalar da tunaninmu😏Ka kara labarin ka sako wani film din da sunansa,amma wannan lalata dame yai kama😢",Negetive,Hausa
250,FXNoo4BjNOE,My love for Maryam it will not be less❤❤,Positive,Hausa
251,FXNoo4BjNOE,Gaskiya wannan tsaban dabbanchi ne,Negetive,Hausa
252,FXNoo4BjNOE,Kai wanna ai ba labarina bane ko,Neutral,Hausa
